sample,Strat_m_measured,Strat_m_above_Pryor,avg_d13C_VPDB,SD_1sigma,SE_1sigma,d13C_3pt_avg,depth_3pt_avg
CCC-75,37.3,29.3,-24.40603495,0.5426719983594176,0.3837270499999991,-24.34190225,29.3
CCC-76,37.55,29.55,-24.6838083,NA,NA,-24.395254883333333,29.55
CCC-59,37.75,29.75,-24.0959214,NA,NA,-24.207423266666666,29.75
CCC-77,37.8,29.8,-23.8425401,NA,NA,-24.173959933333332,29.8
CCC-78,38.05,30.05,-24.5834183,NA,NA,-24.81464993333333,30.05
CCC-79,38.3,30.3,-26.0179914,NA,NA,-25.149685266666665,30.3
CCC-80,38.55,30.55,-24.8476461,NA,NA,-25.261087466666666,30.55
CCC-81,38.8,30.8,-24.9176249,NA,NA,-24.71866556666667,30.8
CCC-82,39.2,31.2,-24.3907257,NA,NA,-24.673042133333336,31.2
CCC-83,39.45,31.45,-24.7107758,NA,NA,-24.75365496666667,31.45
CCC-84,39.7,31.7,-25.1594634,NA,NA,-24.893955599999998,31.7
CCC-85,39.95,31.95,-24.8116276,NA,NA,-24.704258166666666,31.95
CCC-86,40.2,32.2,-24.1416835,NA,NA,-24.194853666666663,32.2
CCC-87,40.45,32.45,-23.6312499,NA,NA,-24.5800066,32.45
CCC-88,40.7,32.7,-25.9670864,NA,NA,-23.946767066666666,32.7
CCC-89,40.95,32.95,-22.2419649,NA,NA,-24.269247949999997,32.95
CCC-90,41.2,33.2,-24.59869255,0.3945298750096432,0.2789747499999997,-23.737962816666666,33.2
CCC-91,41.45,33.45,-24.373231,NA,NA,-24.63327981666667,33.45
CCC-92,41.7,33.7,-24.9279159,NA,NA,-24.529311166666663,33.7
CCC-93,41.95,33.95,-24.2867866,NA,NA,-24.809569399999997,33.95
CCC-94,42.2,34.2,-25.2140057,NA,NA,-24.64216913333333,34.2
CCC-95,42.45,34.45,-24.4257151,NA,NA,-24.570475166666668,34.45
CCC-96,42.7,34.7,-24.0717047,NA,NA,-24.410278599999998,34.7
CCC-97,42.95,34.95,-24.733416,NA,NA,-24.453843833333334,34.95
CCC-98,43.2,35.2,-24.5564108,NA,NA,-23.75131156666666,35.2
CCC-99,43.45,35.45,-21.9641079,NA,NA,-23.265103999999997,35.45
CCC-100,43.7,35.7,-23.2747933,0.31817669690915573,0.22498490000000082,-23.1838051,35.7
CCC-101,43.95,35.95,-24.3125141,NA,NA,-24.010515433333335,35.95
CCC-102,44.2,36.2,-24.4442389,NA,NA,-24.34172836666666,36.2
CCC-103,44.45,36.45,-24.2684321,NA,NA,-24.286948633333328,36.45
CCC-104,44.7,36.7,-24.1481749,NA,NA,-24.418192899999998,36.7
CCC-105,44.95,36.95,-24.837971699999997,0.547414351408803,0.38708040000000027,-24.447566066666667,36.95
CCC-106,45.2,37.2,-24.3565516,NA,NA,-26.465184199999996,37.2
CCC-107,45.45,37.45,-30.2010293,NA,NA,-26.1640652,37.45
CCC-108,45.7,37.7,-23.9346147,NA,NA,-26.33452488333333,37.7
CCC-109,45.95,37.95,-24.867930649999998,0.8375561736322198,0.59224165,-23.921232916666668,37.95
CCC-110,46.2,38.2,-22.9611534,NA,NA,-23.751905249999997,38.2
CCC-111,46.45,38.45,-23.4266317,NA,NA,-23.251083833333336,38.45
CCC-112,46.7,38.7,-23.3654664,NA,NA,-23.404861,38.7
CCC-113,47,39,-23.4224849,NA,NA,-23.37928906666666,39
CCC-114,47.25,39.25,-23.3499159,NA,NA,-23.411426766666665,39.25
CCC-115,47.5,39.5,-23.4618795,NA,NA,-23.214453766666665,39.5
CCC-116,47.75,39.75,-22.8315659,NA,NA,-23.2431358,39.75
