Height_m,Youngest_Age,Preferred_Age,Oldest_Age_Alpha1,STD,SedRate_Preferred,SedRate_Youngest,SedRate_Oldest
33.5,104.2298565,104.487371,106.392504,0.788751161,9.156202813,19.63589216,8.148303952
34,104.2038064,104.4542061,106.3348322,0.785195265,8.669754577,19.19375954,9.418370279
34.5,104.1692194,104.4178212,106.2742814,0.78195725,8.25752605,14.4562966,8.472012467
35,104.1413481,104.3813296,106.2174575,0.779059216,8.799121441,17.93962672,10.27577539
35.5,104.1156121,104.3385312,106.1600856,0.778284287,8.715070466,19.42801263,9.397905023
36,104.0921549,104.304927,106.1034982,0.773792528,8.835881934,21.31548006,8.272193787
36.5,104.0677976,104.2875426,106.0459533,0.764756616,8.688874464,20.52774383,10.99033439
37,104.0395143,104.2583791,105.9901543,0.760299002,8.960732132,17.67824958,10.47055853
37.5,104.0188773,104.2344305,105.9357799,0.755232253,9.195504197,24.22831551,11.8684472
38,103.9968141,104.2082296,105.8795364,0.752574893,8.889909303,22.66215517,9.787911401
38.5,103.9753095,104.1716525,105.8229112,0.749327584,8.829987742,23.2508508,10.38099528
39,103.9526236,104.1312588,105.7662318,0.748977727,8.821557073,22.04017574,13.15134623
39.5,103.9323003,104.0928287,105.7137127,0.749059181,9.52033962,24.60226223,14.46166979
40,103.9062968,104.0696403,105.6573285,0.745116529,8.86773582,19.2281741,11.39260635
40.5,103.8832262,104.0464817,105.5992318,0.742570373,8.606331016,21.67262081,10.37276082
41,103.8676091,104.0249724,105.5425135,0.737843001,8.815503025,32.01620196,15.79517093
41.5,103.8449823,104.0021704,105.4869085,0.732157639,8.992003505,22.09761647,14.1964955
42,103.8213138,103.9812194,105.431429,0.72727648,9.012336771,21.12518338,17.78958495
42.5,103.7981081,103.9450704,105.3754557,0.726635061,8.932833426,21.54645522,13.75685095
43,103.7802888,103.9175962,105.3163148,0.724863469,8.454382834,28.05933451,10.5245486
43.5,103.7634247,103.8976617,105.2563202,0.722890108,8.334082301,29.64890205,16.1435152
44,103.747387,103.8717679,105.1970119,0.721587201,8.430520081,31.17643972,12.31307224
44.5,103.7237094,103.8498946,105.1399337,0.718912583,8.759918757,21.11701971,15.01964537
45,103.703432,103.8261238,105.0813332,0.715606861,8.532350816,24.65794909,15.0773891
45.5,103.6778934,103.8027157,105.0256235,0.71209354,8.975094787,19.57823137,17.64783525
46,103.6547306,103.7802425,104.9706324,0.710007588,9.092377154,21.58632274,16.93553718
46.5,103.6325637,103.7525034,104.9119187,0.706463203,8.515898106,22.55618321,16.4713196
47,103.606717,103.7281311,104.8518949,0.703244964,8.330032612,19.34485066,13.69072119
47.5,103.5877781,103.7058525,104.7949925,0.699094598,8.786967397,26.40070735,12.18871839
48,103.5637248,103.6792903,104.7367174,0.698177751,8.580000322,20.7871501,13.85811147
48.5,103.545304,103.651952,104.679634,0.694268623,8.759119597,27.14315171,11.77734391
49,103.5231349,103.6278935,104.6224329,0.689707105,8.741077944,22.55391994,12.53505485
49.5,103.4951856,103.5978665,104.5639444,0.686999937,8.548688525,17.88953238,16.82380762
50,103.4723972,103.5634993,104.502827,0.686149586,8.180983912,21.94101258,12.19027833
50.5,103.4494153,103.5344159,104.4476997,0.684732748,9.069915633,21.7562835,12.10325099
51,103.4244164,103.5006278,104.3897713,0.678701876,8.631336961,20.00087533,12.19932966
51.5,103.3978768,103.4676131,104.3331841,0.678500305,8.835920055,18.83972613,11.43216104
52,103.371815,103.435493,104.279007,0.674281553,9.22899717,19.18521821,11.03306947
52.5,103.3388262,103.4016953,104.2260464,0.669152452,9.440980651,15.15663922,9.57213211
53,103.3108343,103.3721082,104.1687115,0.664506671,8.72069477,17.86233345,9.849619132
53.5,103.28303,103.3360879,104.1114211,0.661192691,8.727466959,17.98279142,13.18584905
54,103.2535286,103.3003181,104.053054,0.659121026,8.56646593,16.94838345,11.77280173
54.5,103.2214429,103.2608704,103.9939713,0.652000634,8.462712668,15.58325412,8.034244651
55,103.1857907,103.2165167,103.9326329,0.647647046,8.151509756,14.0243943,9.31993034
55.5,103.1462082,103.1632423,103.8699013,0.64355072,7.970453202,12.63183954,7.438911532
56,103.102039,103.1083431,103.7989968,0.638592411,7.051744025,11.32009725,8.758444728
56.5,103.0028361,103.0124727,103.7140094,0.640395886,5.883226987,5.040176947,4.551664373
57,102.342613,102.4976804,103.6199999,0.752228693,5.318607044,0.757319683,5.758529767
