Sample,d 13C/12C,%C,Comment
CCC-94,-25.2140057,0.064242766,j230209_05
CCC-95,-24.4257151,0.039701269,j230209_05
CCC-96,-24.0717047,0.052662719,j230209_05
CCC-97,-24.733416,0.037288563,j230209_05
CCC-98,-24.5564108,0.042225484,j230209_05
CCC-99,-21.9641079,0.040169501,j230209_05
CCC-100,-23.0498084,0.047490041,j230209_05
CCC-100,-23.4997782,0.043433181,j230209_09
CCC-101,-24.3125141,0.038748491,j230209_05
CCC-102,-24.4442389,0.039451116,j230209_05
CCC-103,-24.2684321,0.027295408,j230209_06
CCC-104,-24.1481749,0.032789422,j230209_06
CCC-105,-24.4508913,0.031769738,j230209_06
CCC-105,-25.2250521,0.03127947,j230209_09
CCC-106,-24.3565516,0.027333637,j230209_06
CCC-107,-30.2010293,0.065457533,j230209_01
CCC-108,-23.9346147,0.029953226,j230209_06
CCC-109,-24.275689,0.022988675,j230209_06
CCC-109,-25.4601723,0.025352535,j230209_09
CCC-110,-22.9611534,0.038823932,j230209_06
CCC-111,-23.4266317,0.086229984,j230209_06
CCC-112,-23.3654664,0.089547594,j230209_06
CCC-113,-23.4224849,0.126075298,j230209_06
CCC-114,-23.3499159,0.163518923,j230209_06
CCC-115,-23.4618795,0.130607486,j230209_06
CCC-116,-22.8315659,0.137952074,j230209_06
CCC-117,-23.435962,0.041960139,j230209_06
CCC-118,-23.5147512,0.050247554,j230209_06
CCC-119,-23.8703393,0.089066336,j230209_06
CCC-120,-23.933578,0.140889274,j230209_06
CCC-121,-22.7320427,0.151464629,j230209_06
CCC-122,-23.1415392,0.103736877,j230209_06
CCC-123,-23.3623563,0.240272084,j230209_06
CCC-124,-23.0741537,0.154623102,j230209_06
CCC-125,-23.6132377,0.183903607,j230209_06
CCC-126,-24.638534,0.216806865,j230209_06
CCC-127,-24.7100663,0.186637158,j230209_06
CCC-128,-24.5265704,0.101618665,j230209_06
CCC-129,-22.7589969,0.120324926,j230209_06
CCC-130,-22.6770976,0.064139782,j230209_06
CCC-131,-23.1041044,0.14654667,j230209_07
CCC-132,-23.4233956,0.141984095,j230209_07
CCC-133,-23.4380998,0.098017867,j230209_07
CCC-134,-23.4717094,0.022611054,j230209_07
CCC-135,-24.3224524,0.034167547,j230209_07
CCC-136,-23.6061478,0.0323971,j230209_07
