Height (m),Youngest Case,most_likely_0.025,0.5,0.975,Oldest Case
33.5,107.843,108.405,109.88,110,110.013
33.75,107.818,108.384,109.877,109.998,110.01
34,107.795,108.362,109.874,109.996,110.007
34.25,107.774,108.33,109.871,109.994,110.004
34.5,107.748,108.301,109.867,109.992,110
34.75,107.727,108.277,109.86,109.988,109.998
35,107.7,108.253,109.854,109.986,109.995
35.25,107.677,108.22,109.846,109.983,109.992
35.5,107.651,108.196,109.836,109.979,109.989
35.75,107.629,108.174,109.825,109.974,109.984
36,107.613,108.147,109.812,109.969,109.979
36.25,107.6,108.123,109.794,109.963,109.974
36.5,107.583,108.103,109.77,109.957,109.969
36.75,107.567,108.089,109.746,109.952,109.965
37,107.551,108.063,109.722,109.948,109.96
37.25,107.533,108.043,109.697,109.943,109.956
37.5,107.514,108.02,109.671,109.939,109.951
37.75,107.503,107.999,109.648,109.935,109.947
38,107.494,107.978,109.624,109.93,109.944
38.25,107.471,107.958,109.601,109.926,109.94
38.5,107.455,107.937,109.578,109.922,109.937
38.75,107.438,107.917,109.555,109.917,109.933
39,107.424,107.898,109.532,109.913,109.93
39.25,107.412,107.883,109.51,109.909,109.926
39.5,107.397,107.862,109.489,109.905,109.923
39.75,107.384,107.84,109.466,109.901,109.919
40,107.367,107.822,109.444,109.896,109.916
40.25,107.356,107.8,109.423,109.893,109.913
40.5,107.345,107.781,109.398,109.889,109.91
40.75,107.333,107.762,109.376,109.886,109.907
41,107.315,107.745,109.352,109.882,109.905
41.25,107.302,107.724,109.331,109.878,109.901
41.5,107.281,107.708,109.312,109.873,109.897
41.75,107.265,107.687,109.292,109.87,109.895
42,107.251,107.674,109.271,109.867,109.892
42.25,107.242,107.652,109.249,109.863,109.889
42.5,107.225,107.632,109.227,109.859,109.885
42.75,107.213,107.616,109.206,109.855,109.882
43,107.192,107.588,109.183,109.852,109.879
43.25,107.179,107.564,109.16,109.848,109.876
43.5,107.163,107.549,109.136,109.843,109.872
43.75,107.145,107.524,109.113,109.838,109.869
44,107.125,107.504,109.092,109.834,109.865
44.25,107.106,107.475,109.069,109.83,109.861
44.5,107.084,107.451,109.047,109.826,109.856
44.75,107.062,107.415,109.023,109.821,109.849
45,107.04,107.38,109.002,109.816,109.843
45.25,107.025,107.346,108.979,109.811,109.836
45.5,106.996,107.311,108.952,109.806,109.827
45.75,106.975,107.273,108.92,109.801,109.819
46,106.956,107.243,108.888,109.797,109.811
46.25,106.935,107.216,108.858,109.792,109.804
46.5,106.915,107.188,108.817,109.784,109.798
46.75,106.899,107.158,108.784,109.776,109.792
47,106.881,107.131,108.745,109.766,109.784
47.25,106.871,107.097,108.707,109.754,109.772
47.5,106.857,107.074,108.662,109.732,109.75
47.75,106.846,107.05,108.618,109.712,109.733
48,106.832,107.02,108.576,109.7,109.718
48.25,106.821,106.998,108.532,109.69,109.708
48.5,106.805,106.979,108.487,109.68,109.697
48.75,106.794,106.96,108.442,109.673,109.687
49,106.786,106.936,108.39,109.664,109.679
49.25,106.774,106.919,108.344,109.655,109.67
49.5,106.763,106.902,108.297,109.647,109.664
49.75,106.751,106.888,108.257,109.638,109.657
50,106.742,106.869,108.211,109.632,109.651
50.25,106.734,106.848,108.171,109.624,109.645
50.5,106.725,106.831,108.12,109.616,109.637
50.75,106.715,106.811,108.072,109.608,109.63
51,106.703,106.788,108.031,109.599,109.622
51.25,106.694,106.772,107.988,109.592,109.614
51.5,106.684,106.753,107.946,109.584,109.604
51.75,106.674,106.733,107.903,109.574,109.595
52,106.663,106.713,107.851,109.565,109.587
52.25,106.652,106.692,107.802,109.555,109.578
52.5,106.639,106.669,107.748,109.547,109.57
52.75,106.627,106.645,107.704,109.537,109.561
53,106.614,106.62,107.654,109.525,109.551
53.25,106.602,106.595,107.605,109.511,109.54
53.5,106.587,106.569,107.558,109.502,109.53
53.75,106.57,106.538,107.511,109.481,109.517
54,106.549,106.506,107.459,109.471,109.505
54.25,106.526,106.469,107.409,109.459,109.494
54.5,106.503,106.438,107.36,109.447,109.48
54.75,106.465,106.418,107.319,109.423,109.464
55,106.36,106.401,107.272,109.406,109.451
