sample_ID,depth_m,TOC_(%),d13Corg_VPDB
AH189,577,4.62,-24.27
AH255,997,4.53,-25.13
AH188,572,1.09,-23.94
AH254,992,4.05,-25.28
AH187,567,4.5,-24.2
AH253,989,4.26,-25.18
AH186,563,2.28,-24.43
AH252,986,3.3,-25.42
AH185,562,0.5,-23.65
AH251,981,4.62,-25.5
AH184,557,2.25,-23.49
AH250,976,4.38,-25.28
AH183,552,2.76,-23.51
AH249,954,4.41,-24.47
AH182,547,3.33,-23.55
AH248,949,4.38,-24.87
AH181,542,2.43,-23.83
AH247,894,1.32,-24.86
AH180,537,3.45,-23.98
AH246,891.5,3.3,-24.82
AH179,532,3.03,-24.15
AH245,862,4.62,-24.96
AH178,527,3.72,-23.91
AH244,857,5.4,-24.99
AH177,522,3.24,-23.85
AH243,852,5.16,-24.91
AH176,517,3.51,-23.8
AH242,847,4.26,-25.32
AH175,512,3.6,-23.95
AH241,842,4.8,-25.08
AH174,509,3.24,-24.01
AH240,837,4.44,-25.1
AH173,507,2.91,-24.03
AH239,832,4.62,-25.06
AH172,502,2.85,-24.08
AH238,827,5.43,-25.13
AH171,497,2.31,-24.15
AH237,822,6.03,-25.17
AH170,492,1.86,-23.87
AH236,817,4.23,-25.52
AH169,487,2.07,-23.85
AH235,812,5.37,-25.18
AH168,482,3.45,-24.1
AH234,807,3.45,-25.32
AH167,477,3.15,-24.15
AH233,802,3.99,-25.36
AH166,472,2.73,-23.87
AH232,797,4.2,-25.34
AH165,467,2.01,-24.1
AH231,792,4.17,-25.26
AH164,462,2.64,-23.84
AH230,787,4.17,-25.29
AHJC28,453,2.7,-23.62
AH229,782,4.71,-24.98
AHJC27,443,1.8,-23.64
AH228,777,4.14,-25.65
AHJC26,433,2.85,-23.13
AH227,772,4.2,-25.55
AHJC24,425.5,4.38,-23.1
AH226,767,3.78,-25.41
AHJC23,416,3.96,-23.65
AH225,761,4.83,-25.56
AH162,392,4.2,-23.5
AH224,750,5.82,-25.37
AH161,390,3.15,-23.56
AH223,747,5.4,-25.2
AH160,387,3.51,-23.58
AH222,742,4.95,-25.25
AH159,384,2.22,-23.28
AH221,737,4.59,-25.45
AH158,381,2.7,-22.96
AH220,732,4.32,-26.21
AH157,378,3.3,-23.13
AH219,727,4.68,-25.43
AH156,375,2.97,-22.98
AH155,372,3.48,-23.3
AH88,155,3.24,-24.39
AH154,369,3.63,-23.24
AH87,149,3.27,-24.23
AH153,366,3.84,-23.14
AH86,146,3.78,-24.24
AH152,363,4.11,-23.14
AH85,143.5,3.6,-23.96
AH151,360,3.75,-23.19
AH84,136,3.06,-24
AH150,357.5,3.87,-22.71
AH83,133,3.3,-24.02
AH149,346,3.75,-22.84
AH82,130,3.39,-23.97
AH148,343,3.33,-22.85
AH81,127,3.27,-23.88
AH147,340,2.58,-22.99
AH80,123,3.57,-23.84
AH146,337,2.67,-22.82
AH79,114,3.66,-24.12
AH145,334,3.15,-22.86
AH78,111,3.15,-24.16
